Rotation,Class Accuracy,Bitwise Accuracy,Bitwise Recall,Bitwise Precision,Bitwise F1,Mean Hamming Distance,Mean Error Distance,Trial,Training,Model
-25.0,0.42587601078167114,0.8504043126684636,0.7751586582048957,0.9095744680851063,0.8370044052863437,0.8975741239892183,1.5633802816901408,0,Base,MC
-21.875,0.5410764872521246,0.8852691218130312,0.820160908660672,0.9423599782490484,0.8770242914979758,0.6883852691218131,1.5,0,Base,MC
-18.75,0.6166419019316494,0.9128281327389797,0.8602096854717923,0.9598885793871866,0.9073196419167983,0.5230312035661219,1.3643410852713178,0,Base,MC
-15.625,0.7642857142857142,0.9473809523809524,0.9182389937106918,0.9733333333333334,0.9449838187702265,0.3157142857142857,1.3393939393939394,0,Base,MC
-12.5,0.8354253835425384,0.9637377963737797,0.9378238341968912,0.9880893300248139,0.9623006283228612,0.2175732217573222,1.3220338983050848,0,Base,MC
-9.375,0.8930555555555556,0.9770833333333333,0.965828191741813,0.986905916585839,0.9762532981530342,0.1375,1.2857142857142858,0,Base,MC
-6.25,0.9398601398601398,0.9874125874125874,0.9829948039678791,0.9914244878513578,0.98719165085389,0.07552447552447553,1.255813953488372,0,Base,MC
-3.125,0.9444444444444444,0.9891975308641975,0.9843680214381421,0.9936880072137061,0.9890060578864708,0.06481481481481481,1.1666666666666667,0,Base,MC
0.0,0.9477503628447025,0.9898403483309144,0.9838155958803335,0.9955334987593052,0.9896398618648248,0.06095791001451379,1.1666666666666667,0,Base,MC
3.125,0.9344978165938864,0.9864143619602135,0.9773287333661902,0.994982438534872,0.9860765788165091,0.08151382823871907,1.2444444444444445,0,Base,MC
6.25,0.9071729957805907,0.9807782466010314,0.9695357833655706,0.9906126482213439,0.9799608993157379,0.11533052039381153,1.2424242424242424,0,Base,MC
9.375,0.8784153005464481,0.9744990892531876,0.963319578175149,0.9849976558837318,0.9740380157626333,0.15300546448087432,1.2584269662921348,0,Base,MC
12.5,0.7878787878787878,0.9573232323232324,0.9405737704918032,0.9719428268925357,0.9560010413954699,0.25606060606060604,1.207142857142857,0,Base,MC
15.625,0.6463768115942029,0.922463768115942,0.875,0.9675704412546517,0.9189598586215602,0.4652173913043478,1.3155737704918034,0,Base,MC
18.75,0.4978843441466855,0.8862247296661965,0.8183105238319962,0.9459901800327333,0.8775303643724696,0.6826516220028209,1.3595505617977528,0,Base,MC
21.875,0.42450142450142453,0.8575498575498576,0.7668621700879765,0.9273049645390071,0.839486356340289,0.8547008547008547,1.4851485148514851,0,Base,MC
25.0,0.32390381895332393,0.8196605374823197,0.7330166270783848,0.8837342497136311,0.801350298623734,1.082036775106082,1.600418410041841,0,Base,MC
-25.0,0.42183288409703507,0.867026055705301,0.7756119673617408,0.9463495575221239,0.8525161933233683,0.7978436657681941,1.3799533799533799,0,Base,ML
-21.875,0.6005665722379604,0.9124173748819642,0.849029815428301,0.971830985915493,0.9062894670371305,0.5254957507082153,1.3156028368794326,0,Base,ML
-18.75,0.7013372956909361,0.941802872709262,0.8986520219670494,0.982532751091703,0.9387222946544981,0.3491827637444279,1.1691542288557213,0,Base,ML
-15.625,0.8528571428571429,0.9707142857142858,0.9506531204644412,0.9894259818731118,0.9696521095484826,0.1757142857142857,1.1941747572815533,0,Base,ML
-12.5,0.9163179916317992,0.9834960483496048,0.9698539802166746,0.9966118102613747,0.9830508474576272,0.09902370990237098,1.1833333333333333,0,Base,ML
-9.375,0.9472222222222222,0.9898148148148148,0.984812529663028,0.9942501197891711,0.9895088221268479,0.06111111111111111,1.1578947368421053,0,Base,ML
-6.25,0.9762237762237762,0.9958041958041958,0.9938592347661785,0.9976292081555239,0.995740653099858,0.025174825174825177,1.0588235294117647,0,Base,ML
-3.125,0.9854497354497355,0.9969135802469136,0.994193836534167,0.9995509654243376,0.9968652037617555,0.018518518518518517,1.2727272727272727,0,Base,ML
0.0,0.97677793904209,0.996129656507015,0.9941147621383031,0.9980305268340719,0.9960687960687961,0.023222060957910014,1.0,0,Base,ML
3.125,0.9737991266375546,0.9953905870936438,0.9916214884179398,0.9990069513406157,0.9953005194162751,0.027656477438136828,1.0555555555555556,0,Base,ML
6.25,0.9592123769338959,0.9929676511954993,0.988394584139265,0.9970731707317073,0.9927149101505586,0.04219409282700422,1.0344827586206897,0,Base,ML
9.375,0.9289617486338798,0.9861111111111112,0.9775332416322787,0.9944029850746269,0.9858959537572254,0.08333333333333333,1.1730769230769231,0,Base,ML
12.5,0.8651515151515151,0.975,0.9626024590163934,0.9863517060367454,0.97433238268084,0.15,1.1123595505617978,0,Base,ML
15.625,0.6507246376811594,0.9352657004830918,0.8961538461538462,0.9728601252609603,0.9329329329329329,0.3884057971014493,1.112033195020747,0,Base,ML
18.75,0.5303244005641748,0.9076163610719323,0.8598395469561114,0.9499478623566214,0.9026504830319544,0.5543018335684062,1.1801801801801801,0,Base,ML
21.875,0.45726495726495725,0.8858024691358025,0.8128054740957967,0.9443498012492901,0.8736537956396112,0.6851851851851852,1.26246719160105,0,Base,ML
25.0,0.3592644978783593,0.8611504007543611,0.7895486935866983,0.9192477876106194,0.8494761052900587,0.8330975954738331,1.3002207505518764,0,Base,ML
-25.0,0.3261455525606469,0.8207547169811321,0.7243880326382592,0.8937360178970917,0.800200300450676,1.0754716981132075,1.596,0,CB,MC
-21.875,0.4730878186968839,0.8748819641170916,0.8135352579271179,0.9266846361185984,0.8664314516129034,0.7507082152974505,1.424731182795699,0,CB,MC
-18.75,0.6656760772659732,0.9289252105002477,0.908137793310035,0.9464099895941728,0.9268789808917197,0.4264487369985141,1.2755555555555556,0,CB,MC
-15.625,0.8228571428571428,0.965,0.9709724238026125,0.9584527220630372,0.9646719538572458,0.21,1.185483870967742,0,CB,MC
-12.5,0.9205020920502092,0.9841933984193398,0.9849269901083373,0.9830747531734838,0.984,0.09483960948396095,1.1929824561403508,0,CB,MC
-9.375,0.9569444444444445,0.9921296296296296,0.9933554817275747,0.9905347846663511,0.9919431279620853,0.04722222222222222,1.096774193548387,0,CB,MC
-6.25,0.9790209790209791,0.9965034965034965,0.9962210675484175,0.9966918714555766,0.9964564138908575,0.02097902097902098,1.0,0,CB,MC
-3.125,0.9814814814814815,0.9964726631393298,0.995980348369808,0.9968708091193563,0.996425379803396,0.021164021164021163,1.1428571428571428,0,CB,MC
0.0,0.9796806966618288,0.996129656507015,0.9965669445806769,0.9955903968642822,0.9960784313725489,0.023222060957910014,1.1428571428571428,0,CB,MC
3.125,0.9767103347889374,0.9956331877729258,0.9965500246426812,0.9945892769306444,0.9955686853766618,0.026200873362445413,1.125,0,CB,MC
6.25,0.980309423347398,0.9955461790904829,0.9956479690522244,0.9951667472208796,0.9954072999758279,0.026722925457102673,1.3571428571428572,0,CB,MC
9.375,0.9576502732240437,0.9913479052823315,0.9926639156350298,0.9899405578417924,0.9913003663003663,0.05191256830601093,1.2258064516129032,0,CB,MC
12.5,0.9106060606060606,0.9840909090909091,0.985655737704918,0.9821337417049515,0.9838915878291997,0.09545454545454546,1.0677966101694916,0,CB,MC
15.625,0.7942028985507247,0.9586956521739131,0.9495192307692307,0.9676629103380696,0.958505217180296,0.24782608695652175,1.204225352112676,0,CB,MC
18.75,0.5937940761636107,0.9132581100141044,0.8739971684756961,0.9477993858751279,0.909403388165971,0.5204513399153737,1.28125,0,CB,MC
21.875,0.47435897435897434,0.8779677113010447,0.8152492668621701,0.9246119733924612,0.8664935064935065,0.7321937321937322,1.3929539295392954,0,CB,MC
25.0,0.2842998585572843,0.8175388967468176,0.7206650831353919,0.8907809747504404,0.7967436974789917,1.0947666195190948,1.5296442687747036,0,CB,MC
-25.0,0.2196765498652291,0.7785265049415993,0.6165004533091568,0.9066666666666666,0.7339449541284403,1.3288409703504043,1.7029360967184801,0,CB,ML
-21.875,0.34419263456090654,0.8397072710103871,0.7231424514907714,0.9420468557336621,0.8182061579651941,0.9617563739376771,1.4665226781857452,0,CB,ML
-18.75,0.5408618127786032,0.9034175334323923,0.836245631552671,0.9643062751871042,0.8957219251336898,0.5794947994056464,1.2621359223300972,0,CB,ML
-15.625,0.7771428571428571,0.9561904761904761,0.9356555394291244,0.9743073047858942,0.9545903257650544,0.26285714285714284,1.1794871794871795,0,CB,ML
-12.5,0.8675034867503487,0.9758251975825197,0.9627885068299576,0.9879168680521991,0.9751908396946565,0.14504881450488144,1.0947368421052632,0,CB,ML
-9.375,0.9458333333333333,0.9898148148148148,0.984812529663028,0.9942501197891711,0.9895088221268479,0.06111111111111111,1.1282051282051282,0,CB,ML
-6.25,0.9846153846153847,0.9974358974358974,0.9957487009919698,0.9990521327014218,0.9973976815708541,0.015384615384615385,1.0,0,CB,ML
-3.125,0.9867724867724867,0.9973544973544973,0.9955337204108977,0.9991035410129987,0.9973154362416108,0.015873015873015872,1.2,0,CB,ML
0.0,0.97677793904209,0.996129656507015,0.996076508092202,0.996076508092202,0.996076508092202,0.023222060957910014,1.0,0,CB,ML
3.125,0.9810771470160117,0.9963609898107715,0.996057171020207,0.9965483234714004,0.996302686714321,0.021834061135371178,1.1538461538461537,0,CB,ML
6.25,0.9789029535864979,0.9957805907172996,0.995164410058027,0.9961277831558567,0.9956458635703919,0.02531645569620253,1.2,0,CB,ML
9.375,0.9508196721311475,0.9897540983606558,0.9857863365428703,0.9935304990757856,0.9896432681242808,0.06147540983606557,1.25,0,CB,ML
12.5,0.9212121212121213,0.9853535353535353,0.9769467213114754,0.9932291666666667,0.9850206611570249,0.08787878787878788,1.1153846153846154,0,CB,ML
15.625,0.8217391304347826,0.9652173913043478,0.9471153846153846,0.9830339321357285,0.9647404505386876,0.20869565217391303,1.170731707317073,0,CB,ML
18.75,0.5952045133991537,0.919605077574048,0.8655025955639453,0.9698572184029614,0.914713216957606,0.4823695345557123,1.1916376306620209,0,CB,ML
21.875,0.42450142450142453,0.8611111111111112,0.7531769305962854,0.9506477483035164,0.8404690482683393,0.8333333333333334,1.448019801980198,0,CB,ML
25.0,0.22913719943422914,0.7901933050447902,0.6237529691211401,0.930545712260808,0.7468714448236633,1.2588401697312588,1.6330275229357798,0,CB,ML
